,algorithm,num_flows,buff_size,abs_delta_l,abs_delta_l_tail,abs_delta_r,abs_delta_r_tail,ave_delta_l,ave_delta_l_tail,ave_delta_r,ave_delta_r_tail,formatted_algorithm,abs_delta_inv
73,Cubic,4,89.0,1.302083333333333,1.225490196078431,2.3280000000000007,1.9680000000000004,1.1304688809284396,1.0696165247795681,1.9680000000000004,1.781099999999997,Cubic,0.8160000000000003
74,Reno,4,89.0,2.3148148148148144,1.4880952380952377,2.4000000000000004,2.2080000000000006,1.8565246146767884,1.2650476297149682,2.2140000000000004,2.1480000000000006,Reno,0.6720000000000002
75,Scalable,4,89.0,1.1904761904761902,0.9689922480620153,2.0640000000000005,1.8720000000000003,1.0343601434026963,0.8893271760918818,1.9380000000000004,1.8780000000000003,Scalable,1.0320000000000003
76,Bbr,8,89.0,1.7361111111111107,0.8680555555555554,6.048000000000002,4.800000000000001,1.0754195016119357,0.6242597771318312,4.548000000000001,4.266000000000001,BBR,1.1520000000000004
77,Cubic,8,89.0,10.416666666666664,1.302083333333333,3.1680000000000006,2.4480000000000004,2.41559450235437,1.216449783161946,2.298,2.2200000000000006,Cubic,0.7680000000000001
78,Reno,8,89.0,4.166666666666666,1.6025641025641022,3.984000000000001,3.2640000000000007,2.6059154965404963,1.3631682704372918,2.8380000000000005,2.730000000000001,Reno,0.6240000000000001
79,Scalable,8,89.0,1.4880952380952377,0.9469696969696968,2.5440000000000005,2.2080000000000006,1.2412653167659937,0.8718222964073827,2.0640000000000005,1.9980000000000002,Scalable,1.0560000000000003
80,Bbr,16,89.0,2.604166666666666,0.7440476190476188,7.6800000000000015,6.336000000000001,1.4123625940032185,0.6553578457720166,6.102000000000002,5.784000000000001,BBR,1.3440000000000003
81,Cubic,16,89.0,5.208333333333332,2.083333333333333,3.8400000000000007,2.7840000000000007,2.261078042328042,1.561795409451659,3.1140000000000017,2.8464,Cubic,0.4800000000000001
82,Reno,16,89.0,10.416666666666664,1.7361111111111107,5.568000000000001,3.1680000000000006,4.053509424603174,1.4418506117724863,3.306000000000001,3.0972000000000004,Reno,0.5760000000000002
83,Scalable,16,89.0,3.4722222222222214,1.0416666666666665,2.6880000000000006,2.2080000000000006,1.703559027777777,0.8837699601148965,2.238000000000001,2.124000000000001,Scalable,0.9600000000000002
84,Bbr,32,89.0,5.208333333333332,0.8680555555555554,12.288000000000002,10.560000000000002,1.8240600705878482,0.6592753663178139,9.457777777777778,8.764622222222224,BBR,1.1520000000000004
85,Cubic,32,89.0,5.208333333333332,1.7361111111111107,7.6800000000000015,3.8400000000000007,3.526475694444444,1.664677372685185,3.8100000000000005,3.4051499999999995,Cubic,0.5760000000000002
86,Reno,32,89.0,5.208333333333332,1.7361111111111107,5.184000000000001,3.2640000000000007,4.340277777777777,1.4241536458333333,3.852000000000001,3.4663500000000003,Reno,0.5760000000000002
87,Scalable,32,89.0,5.208333333333332,1.302083333333333,3.648000000000001,2.6880000000000006,3.4179687499999982,0.9516939691616902,2.8140000000000005,2.64165,Scalable,0.7680000000000001
88,Bbr,64,89.0,2.604166666666666,0.6510416666666665,24.576000000000004,19.968000000000004,1.3411871693121689,0.5511545925268565,13.701120000000003,12.678912,BBR,1.5360000000000003
89,Cubic,64,89.0,2.604166666666666,1.302083333333333,6.528000000000001,5.376000000000001,2.563476562499999,1.2287178424873737,5.297999999999997,4.871850000000002,Cubic,0.7680000000000001
