,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
198,bbr,drop,0.098,128,0,2,1,0
199,bbr,drop,0.099,1,0,138,1,0
200,bbr,drop,0.099,2,0,136,2,0
201,bbr,drop,0.099,4,0,2,1,0
202,bbr,drop,0.099,32,0,2,1,0
203,bbr,drop,0.099,64,0,2,1,0
204,bbr,drop,0.099,128,0,1,1,0
205,bbr,drop,0.1,1,0,139,1,0
206,bbr,drop,0.1,2,20,156,2,2
207,bbr,drop,0.1,4,0,1,1,0
208,bbr,drop,0.1,64,0,1,1,0
209,bbr,drop,0.1,128,0,2,1,0
210,bbr,drop,0.101,1,0,138,1,0
211,bbr,drop,0.101,2,13,150,2,2
212,bbr,drop,0.101,4,0,2,1,0
213,bbr,drop,0.101,32,0,1,1,0
214,bbr,drop,0.101,128,0,1,1,0
215,bbr,drop,0.102,1,0,138,1,0
216,bbr,drop,0.102,2,0,136,2,0
217,bbr,drop,0.102,32,0,2,2,0
218,bbr,drop,0.102,64,0,2,1,0
219,bbr,drop,0.103,1,4,141,1,1
220,bbr,drop,0.103,2,0,135,2,0
221,bbr,drop,0.103,4,0,1,1,0
222,bbr,drop,0.103,32,0,2,1,0
223,bbr,drop,0.103,64,0,1,1,0
224,bbr,drop,0.103,128,0,2,1,0
225,bbr,drop,0.104,1,17,151,1,1
226,bbr,drop,0.104,2,0,142,2,0
227,bbr,drop,0.104,4,0,2,1,0
228,bbr,drop,0.104,32,0,1,1,0
229,bbr,drop,0.104,64,0,2,1,0
230,bbr,drop,0.104,128,0,1,1,0
231,bbr,drop,0.105,1,17,150,1,1
232,bbr,drop,0.105,2,0,140,2,0
233,bbr,drop,0.105,4,0,1,1,0
234,bbr,drop,0.105,8,0,1,1,0
235,bbr,drop,0.105,32,0,2,1,0
236,bbr,drop,0.105,128,0,2,1,0
237,bbr,drop,0.106,1,0,140,1,0
238,bbr,drop,0.106,2,14,146,2,2
239,bbr,drop,0.106,64,0,1,1,0
240,bbr,drop,0.106,128,0,1,1,0
241,bbr,drop,0.107,1,0,138,1,0
242,bbr,drop,0.107,2,0,135,2,0
243,bbr,drop,0.107,4,0,2,1,0
244,bbr,drop,0.107,8,0,2,1,0
245,bbr,drop,0.107,16,0,1,1,0
246,bbr,drop,0.107,32,0,1,1,0
247,bbr,drop,0.107,64,0,2,1,0
248,bbr,drop,0.107,128,0,2,1,0
249,bbr,drop,0.108,1,0,138,1,0
250,bbr,drop,0.108,2,0,144,2,0
251,bbr,drop,0.108,8,0,2,1,0
252,bbr,drop,0.108,16,0,2,1,0
253,bbr,drop,0.108,32,0,2,1,0
254,bbr,drop,0.108,64,0,1,1,0
255,bbr,drop,0.109,1,0,139,1,0
256,bbr,drop,0.109,2,0,139,2,0
257,bbr,drop,0.109,4,0,1,1,0
258,bbr,drop,0.109,8,0,1,1,0
259,bbr,drop,0.109,32,0,1,1,0
260,bbr,drop,0.109,64,0,2,1,0
261,bbr,drop,0.109,128,0,1,1,0
262,bbr,drop,0.11,1,2,139,1,1
263,bbr,drop,0.11,2,22,152,2,2
264,bbr,drop,0.11,4,0,14,3,0
265,bbr,drop,0.11,8,0,2,2,0
266,bbr,drop,0.11,16,0,2,1,0
267,bbr,drop,0.11,32,0,1,1,0
268,bbr,drop,0.11,128,0,2,1,0
269,bbr,drop,0.111,1,18,152,1,1
270,bbr,drop,0.111,2,34,159,2,2
271,bbr,drop,0.111,4,0,19,3,0
272,bbr,drop,0.111,8,0,2,1,0
273,bbr,drop,0.111,16,0,1,1,0
274,bbr,drop,0.111,32,0,1,1,0
275,bbr,drop,0.111,64,0,1,1,0
276,bbr,drop,0.111,128,0,1,1,0
277,bbr,drop,0.112,1,13,148,1,1
278,bbr,drop,0.112,2,0,142,2,0
279,bbr,drop,0.112,4,0,45,4,0
280,bbr,drop,0.112,16,0,2,2,0
281,bbr,drop,0.112,32,0,1,1,0
282,bbr,drop,0.112,64,0,2,1,0
283,bbr,drop,0.112,128,0,2,1,0
284,bbr,drop,0.113,1,2,139,1,1
285,bbr,drop,0.113,2,0,141,2,0
286,bbr,drop,0.113,4,0,57,4,0
287,bbr,drop,0.113,8,0,1,1,0
288,bbr,drop,0.113,16,0,2,1,0
289,bbr,drop,0.113,32,0,2,1,0
290,bbr,drop,0.113,64,0,1,1,0
291,bbr,drop,0.114,1,2,140,1,1
292,bbr,drop,0.114,2,12,144,2,2
293,bbr,drop,0.114,4,0,67,4,0
294,bbr,drop,0.114,8,0,2,1,0
295,bbr,drop,0.114,16,0,1,1,0
296,bbr,drop,0.114,64,0,2,1,0
297,bbr,drop,0.114,128,0,1,1,0
298,bbr,drop,0.115,1,0,139,1,0
299,bbr,drop,0.115,2,0,135,2,0
300,bbr,drop,0.115,4,0,121,4,0
301,bbr,drop,0.115,8,0,1,1,0
302,bbr,drop,0.115,32,0,1,1,0
303,bbr,drop,0.115,64,0,1,1,0
304,bbr,drop,0.115,128,0,2,1,0
305,bbr,drop,0.116,1,0,138,1,0
306,bbr,drop,0.116,2,12,151,2,2
307,bbr,drop,0.116,4,0,121,4,0
308,bbr,drop,0.116,8,0,2,1,0
309,bbr,drop,0.116,16,0,2,1,0
310,bbr,drop,0.116,32,0,2,1,0
311,bbr,drop,0.116,128,0,1,1,0
312,bbr,drop,0.117,1,0,138,1,0
313,bbr,drop,0.117,2,0,140,2,0
314,bbr,drop,0.117,4,41,123,4,4
315,bbr,drop,0.117,16,0,1,1,0
316,bbr,drop,0.117,32,0,1,1,0
317,bbr,drop,0.117,64,0,2,1,0
318,bbr,drop,0.117,128,0,2,1,0
319,bbr,drop,0.118,1,0,139,1,0
320,bbr,drop,0.118,2,16,147,2,2
321,bbr,drop,0.118,4,85,125,4,4
322,bbr,drop,0.118,8,0,1,1,0
323,bbr,drop,0.118,16,0,2,1,0
324,bbr,drop,0.118,32,0,2,1,0
325,bbr,drop,0.118,64,0,1,1,0
326,bbr,drop,0.119,1,0,138,1,0
327,bbr,drop,0.119,2,32,160,2,2
328,bbr,drop,0.119,4,10,124,4,3
329,bbr,drop,0.119,8,0,2,1,0
330,bbr,drop,0.119,32,0,1,1,0
331,bbr,drop,0.119,64,0,2,1,0
332,bbr,drop,0.119,128,0,1,1,0
333,bbr,drop,0.12,1,0,137,1,0
334,bbr,drop,0.12,2,27,160,2,2
335,bbr,drop,0.12,4,0,127,4,0
336,bbr,drop,0.12,8,0,1,1,0
337,bbr,drop,0.12,16,0,1,1,0
338,bbr,drop,0.12,64,0,1,1,0
339,bbr,drop,0.12,128,0,2,1,0
340,bbr,drop,0.121,1,8,145,1,1
341,bbr,drop,0.121,2,0,141,2,0
342,bbr,drop,0.121,4,6,127,4,2
343,bbr,drop,0.121,16,0,2,1,0
344,bbr,drop,0.121,32,0,2,1,0
345,bbr,drop,0.121,64,0,1,1,0
346,bbr,drop,0.121,128,0,1,1,0
347,bbr,drop,0.122,1,48,174,1,1
348,bbr,drop,0.122,2,24,153,2,2
349,bbr,drop,0.122,4,69,120,4,4
350,bbr,drop,0.122,8,0,2,1,0
351,bbr,drop,0.122,16,0,1,1,0
352,bbr,drop,0.122,32,0,1,1,0
353,bbr,drop,0.122,64,0,1,1,0
354,bbr,drop,0.122,128,0,2,1,0
355,bbr,drop,0.123,1,8,144,1,1
356,bbr,drop,0.123,2,3,139,2,2
357,bbr,drop,0.123,4,18,119,4,4
358,bbr,drop,0.123,8,0,1,1,0
359,bbr,drop,0.123,16,0,2,1,0
360,bbr,drop,0.123,32,0,2,1,0
361,bbr,drop,0.123,64,0,1,1,0
362,bbr,drop,0.124,1,0,139,1,0
363,bbr,drop,0.124,2,19,154,2,2
364,bbr,drop,0.124,4,0,125,4,0
365,bbr,drop,0.124,8,0,2,1,0
366,bbr,drop,0.124,32,0,1,1,0
367,bbr,drop,0.124,64,0,2,1,0
368,bbr,drop,0.124,128,0,1,1,0
369,bbr,drop,0.125,1,0,137,1,0
