,algorithm,action,rounded_timestamp,num_flows,num_dropped_packets,num_packets,num_active_flows,num_dropped_flows
365,bbr,drop,295.0,64,205,843,52,50
366,bbr,drop,295.0,128,0,6,3,0
367,bbr,drop,300.0,1,43,722,1,1
368,bbr,drop,300.0,2,115,779,2,2
369,bbr,drop,300.0,4,149,803,4,4
370,bbr,drop,300.0,8,142,792,8,8
371,bbr,drop,300.0,16,204,836,15,15
372,bbr,drop,300.0,32,171,815,28,27
373,bbr,drop,300.0,64,168,808,52,46
374,bbr,drop,300.0,128,0,6,3,0
375,bbr,drop,305.0,1,0,692,1,0
376,bbr,drop,305.0,2,47,729,2,2
377,bbr,drop,305.0,4,115,774,4,4
378,bbr,drop,305.0,8,110,775,8,8
379,bbr,drop,305.0,16,202,841,15,15
380,bbr,drop,305.0,32,176,818,28,28
381,bbr,drop,305.0,64,184,829,51,44
382,bbr,drop,305.0,128,0,6,3,0
383,bbr,drop,310.0,1,35,717,1,1
384,bbr,drop,310.0,2,54,728,2,2
385,bbr,drop,310.0,4,108,770,4,4
386,bbr,drop,310.0,8,132,788,8,8
387,bbr,drop,310.0,16,117,773,15,15
388,bbr,drop,310.0,32,191,831,28,26
389,bbr,drop,310.0,64,208,829,51,46
390,bbr,drop,310.0,128,0,6,3,0
391,bbr,drop,315.0,1,0,692,1,0
392,bbr,drop,315.0,2,61,732,2,2
393,bbr,drop,315.0,4,121,779,4,4
394,bbr,drop,315.0,8,102,762,8,8
395,bbr,drop,315.0,16,146,800,15,15
396,bbr,drop,315.0,32,189,828,28,27
397,bbr,drop,315.0,64,252,833,51,47
398,bbr,drop,315.0,128,0,6,3,0
399,bbr,drop,320.0,1,30,713,1,1
400,bbr,drop,320.0,2,31,716,2,2
401,bbr,drop,320.0,4,68,741,4,4
402,bbr,drop,320.0,8,111,771,8,8
403,bbr,drop,320.0,16,144,796,15,15
404,bbr,drop,320.0,32,187,826,28,27
405,bbr,drop,320.0,64,204,826,49,42
406,bbr,drop,320.0,128,0,6,3,0
407,bbr,drop,325.0,1,37,719,1,1
408,bbr,drop,325.0,2,62,740,2,2
409,bbr,drop,325.0,4,73,745,4,4
410,bbr,drop,325.0,8,134,792,8,8
411,bbr,drop,325.0,16,149,799,15,15
412,bbr,drop,325.0,32,170,810,28,26
413,bbr,drop,325.0,64,213,841,49,48
414,bbr,drop,325.0,128,0,6,3,0
415,bbr,drop,330.0,1,0,691,1,0
416,bbr,drop,330.0,2,56,731,2,2
417,bbr,drop,330.0,4,47,726,4,4
418,bbr,drop,330.0,8,162,811,8,8
419,bbr,drop,330.0,16,136,790,15,15
420,bbr,drop,330.0,32,136,789,28,28
421,bbr,drop,330.0,64,187,825,49,46
422,bbr,drop,330.0,128,0,8,3,0
423,bbr,drop,335.0,1,49,728,1,1
424,bbr,drop,335.0,2,74,740,2,2
425,bbr,drop,335.0,4,100,764,4,4
426,bbr,drop,335.0,8,136,788,8,8
427,bbr,drop,335.0,16,152,802,15,15
428,bbr,drop,335.0,32,167,819,27,25
429,bbr,drop,335.0,64,175,823,49,45
430,bbr,drop,335.0,128,0,6,2,0
431,bbr,drop,340.0,1,0,692,1,0
432,bbr,drop,340.0,2,91,762,2,2
433,bbr,drop,340.0,4,125,783,4,4
434,bbr,drop,340.0,8,159,803,8,8
435,bbr,drop,340.0,16,191,830,15,15
436,bbr,drop,340.0,32,186,819,27,23
437,bbr,drop,340.0,64,150,802,48,39
438,bbr,drop,340.0,128,0,6,2,0
439,bbr,drop,345.0,1,55,731,1,1
440,bbr,drop,345.0,2,67,744,2,2
441,bbr,drop,345.0,4,139,790,4,4
442,bbr,drop,345.0,8,147,802,8,8
443,bbr,drop,345.0,16,132,786,15,15
444,bbr,drop,345.0,32,243,875,27,26
445,bbr,drop,345.0,64,148,801,48,39
446,bbr,drop,345.0,128,0,4,2,0
447,bbr,drop,350.0,1,59,735,1,1
448,bbr,drop,350.0,2,86,751,2,2
449,bbr,drop,350.0,4,135,789,4,4
450,bbr,drop,350.0,8,172,818,8,8
451,bbr,drop,350.0,16,115,776,15,15
452,bbr,drop,350.0,32,266,872,27,27
453,bbr,drop,350.0,64,131,779,48,40
454,bbr,drop,350.0,128,0,406,41,0
455,bbr,drop,355.0,1,0,692,1,0
456,bbr,drop,355.0,2,48,722,2,2
457,bbr,drop,355.0,4,104,769,4,4
458,bbr,drop,355.0,8,150,796,8,8
